D:\Self Driving 1\Data\IMG\center_2022_02_28_01_02_53_004.jpg, D:\Self Driving 1\Data\IMG\left_2022_02_28_01_02_53_004.jpg, D:\Self Driving 1\Data\IMG\right_2022_02_28_01_02_53_004.jpg, 0, 0, 0, 8.215032E-05
D:\Self Driving 1\Data\IMG\center_2022_02_28_01_02_53_107.jpg, D:\Self Driving 1\Data\IMG\left_2022_02_28_01_02_53_107.jpg, D:\Self Driving 1\Data\IMG\right_2022_02_28_01_02_53_107.jpg, 0, 0, 0, 8.464194E-05
D:\Self Driving 1\Data\IMG\center_2022_02_28_01_02_53_208.jpg, D:\Self Driving 1\Data\IMG\left_2022_02_28_01_02_53_208.jpg, D:\Self Driving 1\Data\IMG\right_2022_02_28_01_02_53_208.jpg, 0, 0, 0, 8.206967E-05
D:\Self Driving 1\Data\IMG\center_2022_02_28_01_02_53_312.jpg, D:\Self Driving 1\Data\IMG\left_2022_02_28_01_02_53_312.jpg, D:\Self Driving 1\Data\IMG\right_2022_02_28_01_02_53_312.jpg, 0, 0, 0, 8.427094E-05
D:\Self Driving 1\Data\IMG\center_2022_02_28_01_02_53_413.jpg, D:\Self Driving 1\Data\IMG\left_2022_02_28_01_02_53_413.jpg, D:\Self Driving 1\Data\IMG\right_2022_02_28_01_02_53_413.jpg, 0, 0, 0, 7.832587E-05
D:\Self Driving 1\Data\IMG\center_2022_02_28_01_02_53_515.jpg, D:\Self Driving 1\Data\IMG\left_2022_02_28_01_02_53_515.jpg, D:\Self Driving 1\Data\IMG\right_2022_02_28_01_02_53_515.jpg, 0, 0, 0, 7.827445E-05
D:\Self Driving 1\Data\IMG\center_2022_02_28_01_02_53_617.jpg, D:\Self Driving 1\Data\IMG\left_2022_02_28_01_02_53_617.jpg, D:\Self Driving 1\Data\IMG\right_2022_02_28_01_02_53_617.jpg, 0, 0, 0, 7.997701E-05
D:\Self Driving 1\Data\IMG\center_2022_02_28_01_02_53_717.jpg, D:\Self Driving 1\Data\IMG\left_2022_02_28_01_02_53_717.jpg, D:\Self Driving 1\Data\IMG\right_2022_02_28_01_02_53_717.jpg, 0, 0, 0, 7.872796E-05
D:\Self Driving 1\Data\IMG\center_2022_02_28_01_02_53_822.jpg, D:\Self Driving 1\Data\IMG\left_2022_02_28_01_02_53_822.jpg, D:\Self Driving 1\Data\IMG\right_2022_02_28_01_02_53_822.jpg, 0, 0, 0, 8.083518E-05
D:\Self Driving 1\Data\IMG\center_2022_02_28_01_02_53_923.jpg, D:\Self Driving 1\Data\IMG\left_2022_02_28_01_02_53_923.jpg, D:\Self Driving 1\Data\IMG\right_2022_02_28_01_02_53_923.jpg, 0, 0, 0, 7.839838E-05
D:\Self Driving 1\Data\IMG\center_2022_02_28_01_02_54_026.jpg, D:\Self Driving 1\Data\IMG\left_2022_02_28_01_02_54_026.jpg, D:\Self Driving 1\Data\IMG\right_2022_02_28_01_02_54_026.jpg, 0, 0, 0, 7.801635E-05
D:\Self Driving 1\Data\IMG\center_2022_02_28_01_02_54_128.jpg, D:\Self Driving 1\Data\IMG\left_2022_02_28_01_02_54_128.jpg, D:\Self Driving 1\Data\IMG\right_2022_02_28_01_02_54_128.jpg, 0, 0, 0, 7.997358E-05
D:\Self Driving 1\Data\IMG\center_2022_02_28_01_02_54_232.jpg, D:\Self Driving 1\Data\IMG\left_2022_02_28_01_02_54_232.jpg, D:\Self Driving 1\Data\IMG\right_2022_02_28_01_02_54_232.jpg, 0, 0, 0, 7.774053E-05
